diagnosis_id,icd10_code,diagnosis_desc,diagnosis_category,severity,updated_at
D001490,N18.3,Chronic kidney disease stage 3,Renal,Critical,2026-06-06
D001491,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D001492,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D001493,E11.9,Type 2 diabetes without complications,Endocrine,Low,2026-06-06
D001494,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Critical,2026-06-06
D001495,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D001496,J96.00,Acute respiratory failure unspecified,Respiratory,High,2026-06-06
D001497,G35,Multiple sclerosis,Neurological,Low,2026-06-06
D001498,A41.9,Sepsis unspecified,Infectious,Medium,2026-06-06
D001499,I21.0,ST elevation myocardial infarction,Cardiovascular,Low,2026-06-06
D001500,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D001501,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D001502,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D001503,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D001504,M79.3,Panniculitis,Musculoskeletal,Low,2026-06-06
D001505,G43.909,Migraine unspecified,Neurological,High,2026-06-06
D001506,I50.9,Heart failure unspecified,Cardiovascular,Low,2026-06-06
D001507,K57.30,Diverticulosis of large intestine,Gastrointestinal,Medium,2026-06-06
D001508,F41.1,Generalized anxiety disorder,Mental Health,Low,2026-06-06
D001509,J44.1,COPD with acute exacerbation,Respiratory,Critical,2026-06-06
D001510,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,High,2026-06-06
D001511,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D001512,S72.001,Fracture of femoral head,Musculoskeletal,Medium,2026-06-06
D001513,I21.0,ST elevation myocardial infarction,Cardiovascular,Critical,2026-06-06
D001514,K57.30,Diverticulosis of large intestine,Gastrointestinal,Medium,2026-06-06
D001515,N18.3,Chronic kidney disease stage 3,Renal,Low,2026-06-06
D001516,M79.3,Panniculitis,Musculoskeletal,Critical,2026-06-06
D001517,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D001518,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D001519,E11.9,Type 2 diabetes without complications,Endocrine,Medium,2026-06-06
D001520,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D001521,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D001522,N18.3,Chronic kidney disease stage 3,Renal,Medium,2026-06-06
D001523,I10,Essential hypertension,Cardiovascular,Medium,2026-06-06
D001524,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D001525,N18.3,Chronic kidney disease stage 3,Renal,High,2026-06-06
D001526,S72.001,Fracture of femoral head,Musculoskeletal,Low,2026-06-06
D001527,F32.9,Major depressive disorder single episode,Mental Health,Critical,2026-06-06
D001528,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D001529,G43.909,Migraine unspecified,Neurological,High,2026-06-06
D001530,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D001531,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D001532,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D001533,E11.9,Type 2 diabetes without complications,Endocrine,Critical,2026-06-06
D001534,F41.1,Generalized anxiety disorder,Mental Health,Medium,2026-06-06
D001535,G43.909,Migraine unspecified,Neurological,High,2026-06-06
D001536,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D001537,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D001538,J18.9,Pneumonia unspecified,Respiratory,Low,2026-06-06
D001539,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D001540,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D001541,E11.9,Type 2 diabetes without complications,Endocrine,Low,2026-06-06
D001542,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D001543,J18.9,Pneumonia unspecified,Respiratory,Low,2026-06-06
D001544,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D001545,M79.3,Panniculitis,Musculoskeletal,High,2026-06-06
D001546,I50.9,Heart failure unspecified,Cardiovascular,High,2026-06-06
D001547,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Low,2026-06-06
D001548,I21.0,ST elevation myocardial infarction,Cardiovascular,Medium,2026-06-06
D001549,M79.3,Panniculitis,Musculoskeletal,Low,2026-06-06
D001550,S72.001,Fracture of femoral head,Musculoskeletal,Low,2026-06-06
D001551,K57.30,Diverticulosis of large intestine,Gastrointestinal,Critical,2026-06-06
D001552,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D001553,G43.909,Migraine unspecified,Neurological,High,2026-06-06
D001554,F32.9,Major depressive disorder single episode,Mental Health,Low,2026-06-06
D001555,I10,Essential hypertension,Cardiovascular,High,2026-06-06
D001556,I10,Essential hypertension,Cardiovascular,Medium,2026-06-06
D001557,F32.9,Major depressive disorder single episode,Mental Health,Low,2026-06-06
D001558,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
D001559,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D001560,E11.9,Type 2 diabetes without complications,Endocrine,Medium,2026-06-06
D001561,F32.9,Major depressive disorder single episode,Mental Health,Medium,2026-06-06
D001562,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D001563,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D001564,J18.9,Pneumonia unspecified,Respiratory,High,2026-06-06
D001565,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D001566,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
D001567,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D001568,F32.9,Major depressive disorder single episode,Mental Health,High,2026-06-06
D001569,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D001570,K57.30,Diverticulosis of large intestine,Gastrointestinal,High,2026-06-06
D001571,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D001572,K57.30,Diverticulosis of large intestine,Gastrointestinal,Critical,2026-06-06
D001573,B97.29,Other coronavirus as cause of disease,Infectious,High,2026-06-06
D001574,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D001575,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D001576,A41.9,Sepsis unspecified,Infectious,High,2026-06-06
D001577,K57.30,Diverticulosis of large intestine,Gastrointestinal,Critical,2026-06-06
D001578,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D001579,I21.0,ST elevation myocardial infarction,Cardiovascular,Low,2026-06-06
D001580,N39.0,Urinary tract infection,Renal,Low,2026-06-06
D001581,F32.9,Major depressive disorder single episode,Mental Health,Medium,2026-06-06
D001582,N39.0,Urinary tract infection,Renal,Low,2026-06-06
D001583,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D001584,E11.9,Type 2 diabetes without complications,Endocrine,High,2026-06-06
D001585,I21.0,ST elevation myocardial infarction,Cardiovascular,High,2026-06-06
D001586,F41.1,Generalized anxiety disorder,Mental Health,Medium,2026-06-06
D001587,J18.9,Pneumonia unspecified,Respiratory,Low,2026-06-06
D001588,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D001589,J44.1,COPD with acute exacerbation,Respiratory,Medium,2026-06-06
D001590,N18.3,Chronic kidney disease stage 3,Renal,High,2026-06-06
D001591,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D001592,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,High,2026-06-06
D001593,N39.0,Urinary tract infection,Renal,Low,2026-06-06
D001594,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D001595,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D001596,I10,Essential hypertension,Cardiovascular,High,2026-06-06
D001597,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D001598,M79.3,Panniculitis,Musculoskeletal,Low,2026-06-06
D001599,G43.909,Migraine unspecified,Neurological,High,2026-06-06
D001600,I50.9,Heart failure unspecified,Cardiovascular,Critical,2026-06-06
D001601,I10,Essential hypertension,Cardiovascular,Low,2026-06-06
D001602,K92.1,Melena,Gastrointestinal,High,2026-06-06
D001603,B97.29,Other coronavirus as cause of disease,Infectious,Critical,2026-06-06
D001604,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
D001605,G43.909,Migraine unspecified,Neurological,Low,2026-06-06
D001606,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D001607,N39.0,Urinary tract infection,Renal,Low,2026-06-06
D001608,K92.1,Melena,Gastrointestinal,Medium,2026-06-06
D001609,K92.1,Melena,Gastrointestinal,Medium,2026-06-06
D001610,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D001611,A41.9,Sepsis unspecified,Infectious,Critical,2026-06-06
D001612,G43.909,Migraine unspecified,Neurological,Low,2026-06-06
D001613,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Critical,2026-06-06
D001614,N39.0,Urinary tract infection,Renal,Critical,2026-06-06
D001615,J44.1,COPD with acute exacerbation,Respiratory,Medium,2026-06-06
D001616,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D001617,M79.3,Panniculitis,Musculoskeletal,Low,2026-06-06
D001618,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D001619,N18.3,Chronic kidney disease stage 3,Renal,Low,2026-06-06
D001620,A41.9,Sepsis unspecified,Infectious,Critical,2026-06-06
D001621,J44.1,COPD with acute exacerbation,Respiratory,Medium,2026-06-06
D001622,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D001623,M79.3,Panniculitis,Musculoskeletal,Critical,2026-06-06
D001624,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D001625,F41.1,Generalized anxiety disorder,Mental Health,Medium,2026-06-06
D001626,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Low,2026-06-06
D001627,N18.3,Chronic kidney disease stage 3,Renal,Critical,2026-06-06
D001628,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D001629,J18.9,Pneumonia unspecified,Respiratory,Critical,2026-06-06
D001630,B97.29,Other coronavirus as cause of disease,Infectious,High,2026-06-06
D001631,K57.30,Diverticulosis of large intestine,Gastrointestinal,Medium,2026-06-06
D001632,K92.1,Melena,Gastrointestinal,High,2026-06-06
D001633,G43.909,Migraine unspecified,Neurological,Low,2026-06-06
D001634,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D001635,K57.30,Diverticulosis of large intestine,Gastrointestinal,Critical,2026-06-06
D001636,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D001637,S72.001,Fracture of femoral head,Musculoskeletal,Low,2026-06-06
D001638,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D001639,K57.30,Diverticulosis of large intestine,Gastrointestinal,Medium,2026-06-06
D001640,I10,Essential hypertension,Cardiovascular,Low,2026-06-06
D001641,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D001642,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D001643,N39.0,Urinary tract infection,Renal,Low,2026-06-06
D001644,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D001645,N39.0,Urinary tract infection,Renal,Critical,2026-06-06
D001646,M79.3,Panniculitis,Musculoskeletal,Low,2026-06-06
D001647,K92.1,Melena,Gastrointestinal,Medium,2026-06-06
D001648,F41.1,Generalized anxiety disorder,Mental Health,Medium,2026-06-06
D001649,E11.9,Type 2 diabetes without complications,Endocrine,High,2026-06-06
D001650,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D001651,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D001652,I21.0,ST elevation myocardial infarction,Cardiovascular,Critical,2026-06-06
D001653,G35,Multiple sclerosis,Neurological,Low,2026-06-06
D001654,N18.3,Chronic kidney disease stage 3,Renal,Medium,2026-06-06
D001655,I50.9,Heart failure unspecified,Cardiovascular,High,2026-06-06
D001656,E11.9,Type 2 diabetes without complications,Endocrine,High,2026-06-06
D001657,I50.9,Heart failure unspecified,Cardiovascular,Critical,2026-06-06
D001658,I21.0,ST elevation myocardial infarction,Cardiovascular,Low,2026-06-06
D001659,A41.9,Sepsis unspecified,Infectious,High,2026-06-06
D001660,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D001661,I21.0,ST elevation myocardial infarction,Cardiovascular,High,2026-06-06
D001662,A41.9,Sepsis unspecified,Infectious,Medium,2026-06-06
D001663,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D001664,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D001665,G43.909,Migraine unspecified,Neurological,Low,2026-06-06
D001666,J96.00,Acute respiratory failure unspecified,Respiratory,Medium,2026-06-06
D001667,F32.9,Major depressive disorder single episode,Mental Health,Critical,2026-06-06
D001668,F41.1,Generalized anxiety disorder,Mental Health,Low,2026-06-06
D001669,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D001670,F32.9,Major depressive disorder single episode,Mental Health,High,2026-06-06
D001671,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D001672,A41.9,Sepsis unspecified,Infectious,Medium,2026-06-06
D001673,I21.0,ST elevation myocardial infarction,Cardiovascular,High,2026-06-06
D001674,K57.30,Diverticulosis of large intestine,Gastrointestinal,High,2026-06-06
D001675,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D001676,F32.9,Major depressive disorder single episode,Mental Health,High,2026-06-06
D001677,I50.9,Heart failure unspecified,Cardiovascular,High,2026-06-06
D001678,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D001679,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D001680,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D001681,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D001682,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D001683,A41.9,Sepsis unspecified,Infectious,Medium,2026-06-06
D001684,B97.29,Other coronavirus as cause of disease,Infectious,Medium,2026-06-06
D001685,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D001686,B97.29,Other coronavirus as cause of disease,Infectious,High,2026-06-06
D001687,G43.909,Migraine unspecified,Neurological,High,2026-06-06
D001688,S72.001,Fracture of femoral head,Musculoskeletal,Medium,2026-06-06
D001689,E11.9,Type 2 diabetes without complications,Endocrine,Medium,2026-06-06
D001690,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D001691,J44.1,COPD with acute exacerbation,Respiratory,High,2026-06-06
D001692,F32.9,Major depressive disorder single episode,Mental Health,Medium,2026-06-06
D001693,B97.29,Other coronavirus as cause of disease,Infectious,Medium,2026-06-06
D001694,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D001695,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D001696,F41.1,Generalized anxiety disorder,Mental Health,Low,2026-06-06
D001697,J96.00,Acute respiratory failure unspecified,Respiratory,High,2026-06-06
D001698,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D001699,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D001700,B97.29,Other coronavirus as cause of disease,Infectious,High,2026-06-06
D001701,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D001702,J44.1,COPD with acute exacerbation,Respiratory,Medium,2026-06-06
D001703,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
D001704,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D001705,G43.909,Migraine unspecified,Neurological,High,2026-06-06
D001706,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D001707,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D001708,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Low,2026-06-06
D001709,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D001710,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D001711,F32.9,Major depressive disorder single episode,Mental Health,Critical,2026-06-06
D001712,K57.30,Diverticulosis of large intestine,Gastrointestinal,Medium,2026-06-06
D001713,A41.9,Sepsis unspecified,Infectious,Critical,2026-06-06
D001714,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D001715,J96.00,Acute respiratory failure unspecified,Respiratory,Medium,2026-06-06
D001716,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Low,2026-06-06
D001717,B97.29,Other coronavirus as cause of disease,Infectious,Low,2026-06-06
D001718,N18.3,Chronic kidney disease stage 3,Renal,Critical,2026-06-06
D001719,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D001720,E11.9,Type 2 diabetes without complications,Endocrine,Low,2026-06-06
D001721,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D001722,G43.909,Migraine unspecified,Neurological,Critical,2026-06-06
D001723,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D001724,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Critical,2026-06-06
D001725,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D001726,G43.909,Migraine unspecified,Neurological,Critical,2026-06-06
D001727,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D001728,G43.909,Migraine unspecified,Neurological,Low,2026-06-06
D001729,F32.9,Major depressive disorder single episode,Mental Health,Low,2026-06-06
D001730,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D001731,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D001732,F32.9,Major depressive disorder single episode,Mental Health,Critical,2026-06-06
D001733,I50.9,Heart failure unspecified,Cardiovascular,Critical,2026-06-06
D001734,F32.9,Major depressive disorder single episode,Mental Health,Low,2026-06-06
D001735,E11.9,Type 2 diabetes without complications,Endocrine,High,2026-06-06
D001736,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D001737,N39.0,Urinary tract infection,Renal,High,2026-06-06
D001738,S72.001,Fracture of femoral head,Musculoskeletal,Medium,2026-06-06
D001739,B97.29,Other coronavirus as cause of disease,Infectious,High,2026-06-06
D001740,G43.909,Migraine unspecified,Neurological,Low,2026-06-06
D001741,F32.9,Major depressive disorder single episode,Mental Health,Medium,2026-06-06
D001742,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D001743,I10,Essential hypertension,Cardiovascular,Low,2026-06-06
D001744,J96.00,Acute respiratory failure unspecified,Respiratory,Medium,2026-06-06
D001745,A41.9,Sepsis unspecified,Infectious,Critical,2026-06-06
D001746,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D001747,I21.0,ST elevation myocardial infarction,Cardiovascular,Medium,2026-06-06
D001748,S72.001,Fracture of femoral head,Musculoskeletal,Medium,2026-06-06
D001749,S72.001,Fracture of femoral head,Musculoskeletal,Low,2026-06-06
D001750,N18.3,Chronic kidney disease stage 3,Renal,High,2026-06-06
D001751,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D001752,I10,Essential hypertension,Cardiovascular,Low,2026-06-06
D001753,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D001754,I10,Essential hypertension,Cardiovascular,Critical,2026-06-06
D001755,F32.9,Major depressive disorder single episode,Mental Health,Medium,2026-06-06
D001756,A41.9,Sepsis unspecified,Infectious,Critical,2026-06-06
D001757,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D001758,K92.1,Melena,Gastrointestinal,Medium,2026-06-06
D001759,J96.00,Acute respiratory failure unspecified,Respiratory,Medium,2026-06-06
D001760,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D001761,B97.29,Other coronavirus as cause of disease,Infectious,High,2026-06-06
D001762,N39.0,Urinary tract infection,Renal,Critical,2026-06-06
D001763,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D001764,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
D001765,E11.9,Type 2 diabetes without complications,Endocrine,Low,2026-06-06
D001766,G43.909,Migraine unspecified,Neurological,High,2026-06-06
D001767,I21.0,ST elevation myocardial infarction,Cardiovascular,Critical,2026-06-06
D001768,M79.3,Panniculitis,Musculoskeletal,Critical,2026-06-06
D001769,F41.1,Generalized anxiety disorder,Mental Health,Low,2026-06-06
D001770,G43.909,Migraine unspecified,Neurological,Critical,2026-06-06
D001771,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D001772,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D001773,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D001774,S72.001,Fracture of femoral head,Musculoskeletal,Low,2026-06-06
D001775,G43.909,Migraine unspecified,Neurological,Low,2026-06-06
D001776,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,High,2026-06-06
D001777,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D001778,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D001779,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D001780,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D001781,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D001782,G35,Multiple sclerosis,Neurological,High,2026-06-06
D001783,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D001784,I50.9,Heart failure unspecified,Cardiovascular,Low,2026-06-06
D001785,B97.29,Other coronavirus as cause of disease,Infectious,Medium,2026-06-06
D001786,J96.00,Acute respiratory failure unspecified,Respiratory,High,2026-06-06
D001787,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D001788,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D001789,I50.9,Heart failure unspecified,Cardiovascular,Low,2026-06-06
D001790,N39.0,Urinary tract infection,Renal,High,2026-06-06
D001791,K57.30,Diverticulosis of large intestine,Gastrointestinal,Critical,2026-06-06
D001792,I10,Essential hypertension,Cardiovascular,Critical,2026-06-06
D001793,F41.1,Generalized anxiety disorder,Mental Health,Low,2026-06-06
D001794,N39.0,Urinary tract infection,Renal,Critical,2026-06-06
D001795,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D001796,N18.3,Chronic kidney disease stage 3,Renal,High,2026-06-06
D001797,F32.9,Major depressive disorder single episode,Mental Health,Critical,2026-06-06
D001798,F32.9,Major depressive disorder single episode,Mental Health,Medium,2026-06-06
D001799,E11.9,Type 2 diabetes without complications,Endocrine,Low,2026-06-06
D001800,J18.9,Pneumonia unspecified,Respiratory,Low,2026-06-06
D001801,M79.3,Panniculitis,Musculoskeletal,High,2026-06-06
D001802,B97.29,Other coronavirus as cause of disease,Infectious,High,2026-06-06
D001803,N18.3,Chronic kidney disease stage 3,Renal,High,2026-06-06
D001804,J44.1,COPD with acute exacerbation,Respiratory,Critical,2026-06-06
D001805,F32.9,Major depressive disorder single episode,Mental Health,Critical,2026-06-06
D001806,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D001807,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D001808,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D001809,I21.0,ST elevation myocardial infarction,Cardiovascular,Low,2026-06-06
D001810,I21.0,ST elevation myocardial infarction,Cardiovascular,Critical,2026-06-06
D001811,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
D001812,G43.909,Migraine unspecified,Neurological,Critical,2026-06-06
D001813,B97.29,Other coronavirus as cause of disease,Infectious,Low,2026-06-06
D001814,K92.1,Melena,Gastrointestinal,High,2026-06-06
D001815,F41.1,Generalized anxiety disorder,Mental Health,Medium,2026-06-06
D001816,I21.0,ST elevation myocardial infarction,Cardiovascular,Medium,2026-06-06
D001817,N39.0,Urinary tract infection,Renal,High,2026-06-06
D001818,I10,Essential hypertension,Cardiovascular,High,2026-06-06
D001819,N39.0,Urinary tract infection,Renal,High,2026-06-06
D001820,I21.0,ST elevation myocardial infarction,Cardiovascular,Low,2026-06-06
D001821,K92.1,Melena,Gastrointestinal,High,2026-06-06
D001822,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D001823,J96.00,Acute respiratory failure unspecified,Respiratory,Medium,2026-06-06
D001824,K92.1,Melena,Gastrointestinal,High,2026-06-06
D001825,M79.3,Panniculitis,Musculoskeletal,Critical,2026-06-06
D001826,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D001827,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D001828,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D001829,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D001830,I50.9,Heart failure unspecified,Cardiovascular,High,2026-06-06
D001831,G35,Multiple sclerosis,Neurological,High,2026-06-06
D001832,F41.1,Generalized anxiety disorder,Mental Health,Low,2026-06-06
D001833,E11.9,Type 2 diabetes without complications,Endocrine,High,2026-06-06
D001834,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D001835,J44.1,COPD with acute exacerbation,Respiratory,High,2026-06-06
D001836,I21.0,ST elevation myocardial infarction,Cardiovascular,High,2026-06-06
D001837,A41.9,Sepsis unspecified,Infectious,Medium,2026-06-06
D001838,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D001839,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D001840,N39.0,Urinary tract infection,Renal,High,2026-06-06
D001841,I50.9,Heart failure unspecified,Cardiovascular,High,2026-06-06
D001842,B97.29,Other coronavirus as cause of disease,Infectious,Low,2026-06-06
D001843,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D001844,K57.30,Diverticulosis of large intestine,Gastrointestinal,Critical,2026-06-06
D001845,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D001846,F32.9,Major depressive disorder single episode,Mental Health,High,2026-06-06
D001847,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D001848,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D001849,E11.9,Type 2 diabetes without complications,Endocrine,Low,2026-06-06
D001850,S72.001,Fracture of femoral head,Musculoskeletal,Low,2026-06-06
D001851,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D001852,E11.9,Type 2 diabetes without complications,Endocrine,High,2026-06-06
D001853,M79.3,Panniculitis,Musculoskeletal,High,2026-06-06
D001854,K92.1,Melena,Gastrointestinal,Medium,2026-06-06
D001855,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
D001856,E11.9,Type 2 diabetes without complications,Endocrine,Low,2026-06-06
D001857,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D001858,F32.9,Major depressive disorder single episode,Mental Health,Low,2026-06-06
D001859,I21.0,ST elevation myocardial infarction,Cardiovascular,High,2026-06-06
D001860,I50.9,Heart failure unspecified,Cardiovascular,Low,2026-06-06
D001861,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D001862,I50.9,Heart failure unspecified,Cardiovascular,Low,2026-06-06
D001863,F32.9,Major depressive disorder single episode,Mental Health,High,2026-06-06
D001864,I21.0,ST elevation myocardial infarction,Cardiovascular,High,2026-06-06
D001865,E11.9,Type 2 diabetes without complications,Endocrine,High,2026-06-06
D001866,E11.9,Type 2 diabetes without complications,Endocrine,Medium,2026-06-06
D001867,N39.0,Urinary tract infection,Renal,High,2026-06-06
D001868,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D001869,S72.001,Fracture of femoral head,Musculoskeletal,Low,2026-06-06
D001870,N18.3,Chronic kidney disease stage 3,Renal,Medium,2026-06-06
D001871,J96.00,Acute respiratory failure unspecified,Respiratory,High,2026-06-06
